id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon","['1uNFoZAHBGtllmzznpCI3s', '20wkVLutqVOYrc0kxFs7rA', '4fxd5Ee7UefO4CUXgwJ7IP']",pop rb canadian contemporary rb pop rb canadian pop pop postteen pop,2021,198.082,100,0.677,0.696,0,53.819,1,0.119,0.321,0.0,0.42,0.464,90.03
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,['1McMsnEElThX1knmY4oliG'],pop postteen pop,2021,242.014,99,0.585,0.436,10,51.239,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,['1uU7g3DNSbsu0QjSEqZtEd'],australian hip hop,2021,132.78,98,0.778,0.695,4,53.135,0,0.0913,0.175,0.0,0.15,0.472,149.996
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,['1Xyo4u8uXC1ZmMpatF05PJ'],canadian contemporary rb canadian pop pop,2020,215.627,97,0.68,0.826,0,54.513,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,['1U1el3k54VvEUzo3ybLPlM'],colombian pop pop,2020,160.191,97,0.653,0.524,11,50.984,0,0.0502,0.112,0.0,0.203,0.553,83.97
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic","['0du5cEVh5yTK9QJze8zA0C', '3jK9MiCrA42lLAdMGUZpwa', '6PvvGcCY2XtUcSRld1Wilr']",escape room dance pop pop postteen pop ,2021,242.096,96,0.586,0.616,5,52.036,1,0.0324,0.182,0.0,0.0927,0.719,148.088
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,['1Xyo4u8uXC1ZmMpatF05PJ'],canadian contemporary rb canadian pop pop,2020,200.04,96,0.514,0.73,1,54.066,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,['2o5jDhtHVPhrJdv3cEQ99Z'],big room brostep dance pop dutch edm edm house pop pop dance slap house trance tropical house,2020,164.0,95,0.798,0.62,8,52.921,0,0.232,0.414,0.0192,0.112,0.235,120.031
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,['4fxd5Ee7UefO4CUXgwJ7IP'],pop rb,2020,198.371,94,0.449,0.465,0,51.036,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087
1xK1Gg9SxG8fy2Ya373oqb,Bandido,"Myke Towers, Juhn","['7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr']",trap latino reggaeton reggaeton flow trap latino,2020,232.853,94,0.713,0.617,8,55.363,1,0.0887,0.122,0.0,0.0962,0.682,168.021
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine","['7i9j813KFoSBMldGqlh2Z1', '1gALaWbNDnwS2ECV09sn2A', '4L2dV3zY7RmkeiNO035Fi0', '3Edve4VIATi0OZngclQlkN']",  dance pop house pop dance tropical house uk dance ,2021,169.153,94,0.824,0.862,2,56.576,1,0.126,0.0076,0.000132,0.303,0.801,122.98
7Bk0uXKk1uPT0XuQbpFzvs,Fiel,"Los Legendarios, Wisin, Jhay Cortez","['0n6sKrG0xKAf8xmdqeNGke', '3E6xrwgnVfYCrCs0ePERDz', '0EFisYRi20PTADoJrifHrz']",latin reggaeton reggaeton flow trap latino latin latin hip hop reggaeton trap latino tropical latin reggaeton trap latino,2021,261.66700000000003,94,0.849,0.701,6,55.593,0,0.06,0.407,0.0,0.112,0.505,98.005
60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,['5cj0lLjcoR7YOSnhnX0Po5'],dance pop pop pop rap,2019,226.987,94,0.749,0.463,11,51.567,1,0.0828,0.208,0.0371,0.337,0.19,90.028
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,['2tIP7SsRs7vjIcLrU85W8J'],australian hip hop,2020,161.385,94,0.662,0.413,0,52.643,1,0.0299,0.213,0.0,0.134,0.467,93.005
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,['7tYKF4w9nC0nq9CsPZTHyP'],pop pop rap rb,2020,279.204,93,0.436,0.655,1,51.63,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA","['4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1']",rb en espanol latin reggaeton trap latino,2020,203.201,93,0.856,0.618,7,55.108,1,0.286,0.0303,0.0,0.0866,0.391,81.993
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"Nathan Evans, 220 KID, Billen Ted","['1PKErrAhYFdfrDymGHRQRo', '4Euia7UzdRshy1DJOSMTcs', '5PoZtBo8xZKqPWlZrIDq82']",  ,2021,116.75,92,0.722,0.893,0,56.745,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932
47EiUVwUp4C9fGccaPuUCS,DÁKITI,"Bad Bunny, Jhay Cortez","['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",latin reggaeton trap latino latin reggaeton trap latino,2020,205.09,92,0.731,0.573,4,49.941,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,['66CXWjxzNUsdJxJ2JdwvnR'],pop postteen pop,2020,172.32500000000002,92,0.737,0.802,0,55.229,1,0.0878,0.468,0.0,0.0931,0.682,144.015
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza,['2NfSBtmWe7oPw1EmetJVso'],,2020,186.133,92,0.725,0.756,4,54.987,1,0.0572,0.362,0.000685,0.103,0.828,100.07
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),"MEDUZA, Dermot Kennedy","['0xRXCcSX89eobfrshSVdyu', '5KNNVgR6LBIABRIomyCwKJ']",dance pop edm pop dance pop house tropical house folkpop irish pop pop,2020,167.903,92,0.632,0.595,8,52.356,0,0.0401,0.0689,0.0,0.209,0.435,124.114
4u4NyuceXP7Uzh7XFJKCr1,Hold On,Justin Bieber,['1uNFoZAHBGtllmzznpCI3s'],canadian pop pop postteen pop,2021,170.81300000000002,92,0.658,0.634,1,54.203,0,0.0413,0.0106,0.0,0.132,0.29,139.98
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,['4kYSro6naA4h99UJvo89HB'],pop pop rap postteen pop rap,2021,156.945,92,0.868,0.795,11,53.956,1,0.269,0.0012,0.0193,0.0461,0.819,166.0
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole","['4riOEaOW5hCeqomFDBk0aP', '7iK8PXO48WeuP03g8YR51W', '2UZIAOlrnyZmyzt1nuXr9y']",trap latino argentine hip hop rb argentino trap argentino trap latino dembow rap dominicano trap latino,2021,218.107,92,0.585,0.611,6,55.868,1,0.288,0.39,0.0,0.649,0.962,97.041
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,['6KImCVD70vtIoJWnq6nGn3'],pop postteen pop,2019,174.0,92,0.548,0.816,0,55.791,1,0.0465,0.122,0.0,0.335,0.557,95.39
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,"Travis Scott, HVME","['0Y5tJX1MQlPlqiwlOH1tJY', '2o08sCWF5yyo2G4DCiT7T9']",slap house rap slap house,2021,162.803,92,0.841,0.593,1,52.154,1,0.0379,0.418,0.0,0.124,0.808,124.917
45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,['45dkTj5sMRSjrmBSBeiHym'],alt z electropop pop postteen pop,2020,169.266,91,0.667,0.373,4,50.611,1,0.05,0.785,0.0,0.0906,0.0823,124.148
4saklk6nie3yiGePpBwUoc,Dynamite,BTS,['3Nrfpe0tUJi4K4DXYWgMUX'],kpop kpop boy group,2020,199.054,91,0.746,0.765,6,55.59,0,0.0993,0.0112,0.0,0.0936,0.737,114.044
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,KAROL G,['790FomKkXshlbRYZFtlgla'],latin reggaeton reggaeton colombiano trap latino,2020,178.947,91,0.863,0.666,1,55.842,0,0.152,0.212,0.000493,0.103,0.838,163.908
6Im9k8u9iIzKMrmV7BWtlF,34+35,Ariana Grande,['66CXWjxzNUsdJxJ2JdwvnR'],pop postteen pop,2020,173.711,91,0.83,0.585,0,53.524,1,0.094,0.237,0.0,0.248,0.485,109.978
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","['4r63FhuTkUYltbVAg5TQnk', '757aE44tKEUQEqRuT6GnEB']",north carolina hip hop rap melodic rap rap trap,2020,181.733,91,0.746,0.69,11,52.044,1,0.164,0.247,0.0,0.101,0.497,89.977
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,['0eDvMgVFoNV3TpwtrVCoTj'],brooklyn drill,2020,160.0,91,0.709,0.548,10,51.507,1,0.353,0.65,1.59e-06,0.133,0.543,83.995
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),"Joel Corry, MNEK","['6DgP9otnZw5z6daOntINxp', '7uMh23xWiuR7zsNkuNcm2G']",tropical house uk contemporary rb uk dance dance pop edm house pop dance tropical house uk dance,2020,166.028,91,0.734,0.874,8,56.842,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
2TksvaRivgAEj780DgRB73,911,Sech,['77ziqFxp5gaInVrF2lj4ht'],latin panamanian pop reggaeton trap latino,2021,215.891,91,0.795,0.655,7,56.185,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029
